Date,KOTAKBANK,ICICIBANK
2019-04-05,1335.95,390.55
2019-04-08,1343.25,387.1
2019-04-09,1341.45,397.15
2019-04-10,1349.9,394.2
2019-04-11,1343.2,390.05
2019-04-12,1343.45,394.6
2019-04-15,1373.85,392.75
2019-04-16,1386.4,407.0
2019-04-18,1369.65,404.4
2019-04-22,1356.7,394.5
2019-04-23,1355.35,396.5
2019-04-24,1366.75,401.1
2019-04-25,1360.4,395.4
2019-04-26,1379.25,407.2
2019-04-29,1378.0,407.2
