Date,HEROMOTOCO,EICHERMOT
2019-03-20,2609.15,21338.0
2019-03-22,2603.3,21446.85
2019-03-25,2575.7,21151.35
2019-03-26,2574.45,21382.0
2019-03-27,2543.2,20974.15
2019-03-28,2525.75,20899.0
2019-03-29,2553.15,20547.7
2019-04-01,2558.5,20048.4
2019-04-02,2569.95,20583.5
2019-04-03,2580.45,20202.7
2019-04-04,2637.2,20489.55
2019-04-05,2618.4,20980.3
2019-04-08,2586.85,20612.65
2019-04-09,2623.65,20947.1
2019-04-10,2594.4,20973.75
2019-04-11,2601.1,20998.15
2019-04-12,2639.9,21361.15
2019-04-15,2700.7,21331.95
2019-04-16,2739.65,21270.55
2019-04-18,2741.55,21023.9
2019-04-22,2689.5,20400.85
2019-04-23,2638.05,20314.9
2019-04-24,2611.9,20531.55
2019-04-25,2612.25,20340.2
2019-04-26,2604.0,20330.65
2019-04-30,2494.95,20247.0
