Date,MARUTI,TATAMOTORS
2019-04-05,7107.7,205.15
2019-04-08,7129.45,200.55
2019-04-09,7216.55,205.9
2019-04-10,7186.35,216.05
2019-04-11,7187.85,218.2
2019-04-12,7342.85,215.95
2019-04-15,7352.5,231.75
2019-04-16,7458.55,230.5
2019-04-18,7447.45,236.25
2019-04-22,7321.25,234.85
2019-04-23,7048.9,231.65
2019-04-24,7016.7,223.6
2019-04-25,6905.25,221.85
2019-04-26,6842.85,215.6
2019-04-30,6685.95,212.75
