Date,MARUTI,TATAMTRDVR
2019-04-05,7107.7,98.55
2019-04-08,7129.45,96.5
2019-04-09,7216.55,99.15
2019-04-10,7186.35,102.25
2019-04-11,7187.85,103.8
2019-04-12,7342.85,103.6
2019-04-15,7352.5,111.4
2019-04-16,7458.55,111.2
2019-04-18,7447.45,113.65
2019-04-22,7321.25,113.4
2019-04-23,7048.9,111.7
2019-04-24,7016.7,108.15
2019-04-25,6905.25,107.35
2019-04-26,6842.85,103.9
2019-04-30,6685.95,102.1
