Date,SYNDIBANK,ALBK
2019-03-18,39.45,55.75
2019-03-19,39.95,56.2
2019-03-20,40.05,55.45
2019-03-22,38.6,54.4
2019-03-25,38.6,52.55
2019-03-26,40.15,50.95
2019-03-27,40.6,52.35
2019-03-28,42.9,54.9
2019-03-29,43.2,54.6
2019-04-01,44.35,54.45
2019-04-02,45.2,55.2
2019-04-03,43.05,53.4
2019-04-04,43.25,53.5
2019-04-05,42.45,53.35
2019-04-08,41.7,52.3
2019-04-09,42.6,53.25
2019-04-10,41.85,53.25
2019-04-11,41.6,53.7
2019-04-12,42.4,54.3
2019-04-15,41.75,53.7
2019-04-16,41.5,51.85
2019-04-18,40.6,51.05
2019-04-22,39.25,48.65
2019-04-23,38.9,49.35
2019-04-24,39.55,49.85
2019-04-25,39.1,49.65
2019-04-26,40.35,49.15
2019-04-30,38.0,47.6
